filename,size_bytes,sha256,target,version,format,static_status
480-00182-R126.3.3.36_UART.gbl,353812,dfdd20ead0ea549b3714db8fc22ba43fcc259a994d9d7945c04a29f21140707b,Bluetooth module,126.3.3.36,Silicon Labs GBL,identified by file tool
LSG_DYN_v3_15.bin,341968,895ec58da48c9ac0169112b5b5af5e8578829c32c5356532148e5b6f5e1b8194,LS_G7_VIB,3.15,raw binary,mapped by C6868k
LSG_GSI_v2_89.bin,173824,03e52a414ef6caccf8796801368e02023fab6df213f4639cc5daa15fe42a681c,LS_G6_DIG,2.89,raw binary,mapped by C6868k
LSG_LASER_v2_53.bin,99072,a15924bed77d50d4fed07eb4dafa2de8c0244e209ed117b93354a743928b7abb,LS_G6_LASER,2.53,raw binary,mapped by C6868k
LSG_LASTIL90_v2_85.bin,128896,8f8705e20fe9521a468699db76db357b01bc60ac5f5c119dea091d6aa199a958,LS_G6_LASER_TIL90,2.85,raw binary,mapped by C6868k
LSG_PNODE_v2_83.bin,112640,ca750526554620375e8f43d4b3664f698c4cda1291fdc1845b3713364ca4c365,LS_G6_PICO,2.83,raw binary,mapped by C6868k
LSG_TIL90E_v2_67.bin,130560,326b018da0e50aea51b5695ad32c9377faf1bba79a414729864c4862fee01a44,LS_G6_INC360_ALARM,2.67,raw binary,mapped by C6868k
LSG_TIL90_v2_81.bin,124288,9dba6261df792649b0cebd0db86f1aa459bb93209b8783dad2da020a5f0b227f,LS_G6_INC360,2.81,raw binary,mapped by C6868k
LSG_TILT_v2_43.bin,109952,27d4599343693f91a6bc6e98d6baea0b721c28a2a3e9920f30c396458c55a7c9,LS_G6_INC15,2.43,raw binary,mapped by C6868k
LSG_VOLT_v2_73.bin,109824,802ebd046c4c3f3891ad4e017277bda43da47f3afeae66523d0ad439d9658586,LS_G6_ANALOG4,2.73,raw binary,mapped by C6868k
LSG_VW_v2_69.bin,185472,de37ced6ab15ef009aabfc1a9ba9aae95010ad522efcbb2f1270ca836db57b6c,LS_G6_VW,2.69,raw binary,mapped by C6868k
LS_G7_GNSS_v3_07.bin,208384,ff4e451b9d443d221b4fed802fdb5184707d7d564b3c8b053239f4751504a55d,LS_G7_GNSS,3.07,raw binary,mapped by C6868k
LS_G7_GNSS_v3_11.bin,217584,3666bbd19af9b5d7df4bb735a518a58f351bfa2da785669fee4492a8f32829ad,LS_G7_GNSS,3.11,raw binary,mapped by C6868k
LS_G7_TIL90_v3_13.bin,199280,457cec88b0c2a4e2fbf80ee28a4459c94cc81ebff366c1354f2b5e9ddb4d8097,LS_G7_TIL90,3.13,raw binary,mapped by C6868k
LS_G7_VW_v3.19.bin,263968,c2a8d797eac1b42b218542fd0e69c075a36b5bf314e2d529253af70da917b37d,LS_G7_VW,3.19,raw binary,mapped by C6868k
